candidate_name,votes_received,party_affiliation,constituency,winning_status
Ervin Heggman,295730,ANC,Mombasa,True
Cher Wann,81872,ANC,Nairobi,False
Staford Grint,951941,Wiper,Eldoret,False
Lana Horsefield,748353,ODM,Mombasa,False
West Rops,83865,UDA,Kisumu,True
Marv Rockcliff,34761,Wiper,Kisumu,False
Elsinore Rushmer,75801,ANC,Nairobi,True
Parsifal Tackett,276085,Jubilee,Nairobi,True
Ginni Sidgwick,96287,ODM,Eldoret,False
Sabra Gedge,704348,UDA,Mombasa,False
Revkah Pettyfar,162539,ODM,Nakuru,True
Evelin Tarburn,347700,ANC,Kisumu,False
Ingram Fernandez,195866,ODM,Nakuru,False
Maura Wackett,994105,UDA,Mombasa,True
Maryl Lockton,982284,Wiper,Nakuru,False
Sabrina Lisle,49054,UDA,Eldoret,False
Emmit De Ambrosis,974134,Wiper,Eldoret,False
Sisile Daltrey,134082,ODM,Nairobi,False
Lannie Tilney,247069,Wiper,Nairobi,False
Giorgi Kerley,799695,Jubilee,Kisumu,True
Verla Yerill,694761,ODM,Nakuru,True
Sophie Firpi,662680,Jubilee,Eldoret,False
Stevana Willoway,417163,UDA,Mombasa,True
Nixie Kenforth,442681,Wiper,Eldoret,True
Elihu Curtiss,340216,Jubilee,Mombasa,False
Buiron Favell,314626,Jubilee,Eldoret,False
Malorie Reeds,254206,UDA,Kisumu,True
Elisabet Anselm,20584,ODM,Eldoret,True
Germaine Blasli,393812,Wiper,Kisumu,True
Andrea MacDonnell,526473,UDA,Nakuru,True
Emmott Dunderdale,613042,ANC,Mombasa,False
Hayley Haythornthwaite,50772,ANC,Kisumu,False
Ainslie Carlo,441979,Wiper,Eldoret,False
Burch Westpfel,859114,ANC,Nairobi,False
Cleo Wrates,938664,Jubilee,Kisumu,True
Ezechiel Simoncini,321701,ANC,Kisumu,False
Cati Sherington,504260,ODM,Nairobi,True
Tierney Stanhope,107921,ODM,Nairobi,True
Camey Spiers,283077,ANC,Eldoret,True
Goldia Hamner,142832,Wiper,Mombasa,False
Ted Ringrose,726185,UDA,Eldoret,True
Wenonah Britten,681309,UDA,Nakuru,False
Robinette Rickersy,666759,Jubilee,Eldoret,True
Gordon Purry,197778,ANC,Kisumu,False
Durante Briamo,501576,Wiper,Eldoret,True
Bradford Eate,399931,Jubilee,Nakuru,False
Dunn Orht,889551,UDA,Nairobi,False
Dosi McKennan,966033,Jubilee,Nairobi,True
Hestia Emerine,941532,UDA,Eldoret,False
Jaimie Cobson,111295,UDA,Nairobi,False
Nicholle Faughnan,443366,ANC,Nairobi,False
Ruthi Kitman,541160,Jubilee,Kisumu,False
Cesaro Cordeau],764281,ANC,Kisumu,True
Christos Skillicorn,698905,UDA,Eldoret,False
